Location,Latitude,Longitude,Address
Norah Head,-33.2815666,151.5791457,"{'cape': 'Norah Head', 'suburb': 'Norah Head', 'municipality': 'Central Coast Council', 'state': 'New South Wales', 'ISO3166-2-lvl4': 'AU-NSW', 'postcode': '2263', 'country': 'Australia', 'country_code': 'au'}"
Penrith,-33.7511954,150.6941711,"{'suburb': 'Penrith', 'town': 'Penrith', 'municipality': 'Penrith City Council', 'state': 'New South Wales', 'ISO3166-2-lvl4': 'AU-NSW', 'postcode': '2750', 'country': 'Australia', 'country_code': 'au'}"
Penrith,-33.7477962,150.7147882,"{'municipality': 'Penrith City Council', 'state': 'New South Wales', 'ISO3166-2-lvl4': 'AU-NSW', 'country': 'Australia', 'country_code': 'au'}"
Penrith,-33.7512304,150.6941603,"{'town': 'Penrith', 'city': 'Sydney', 'municipality': 'Penrith City Council', 'state': 'New South Wales', 'ISO3166-2-lvl4': 'AU-NSW', 'postcode': '2750', 'country': 'Australia', 'country_code': 'au'}"
Richmond,-37.80745,144.9907213,"{'political': 'Richmond District', 'city': 'Melbourne', 'municipality': 'City of Yarra', 'state': 'Victoria', 'ISO3166-2-lvl4': 'AU-VIC', 'country': 'Australia', 'country_code': 'au'}"
Richmond,-37.820386,145.0025144,"{'suburb': 'Richmond', 'municipality': 'City of Yarra', 'state': 'Victoria', 'ISO3166-2-lvl4': 'AU-VIC', 'postcode': '3121', 'country': 'Australia', 'country_code': 'au'}"
Richmond,-37.8239317,144.9895696,"{'railway': 'Richmond', 'road': 'Punt Road', 'suburb': 'Richmond', 'city': 'Melbourne', 'municipality': 'City of Yarra', 'state': 'Victoria', 'ISO3166-2-lvl4': 'AU-VIC', 'postcode': '3121', 'country': 'Australia', 'country_code': 'au'}"
Richmond,-33.6009721,150.7496405,"{'town': 'Richmond', 'municipality': 'Hawkesbury City Council', 'state': 'New South Wales', 'ISO3166-2-lvl4': 'AU-NSW', 'postcode': '2753', 'country': 'Australia', 'country_code': 'au'}"
Richmond,-42.7352717,147.4384546,"{'town': 'Richmond', 'municipality': 'City of Clarence', 'state': 'Tasmania', 'ISO3166-2-lvl4': 'AU-TAS', 'postcode': '7025', 'country': 'Australia', 'country_code': 'au'}"
Richmond,-20.569655,142.9283602,"{'municipality': 'Richmond Shire', 'state': 'Queensland', 'ISO3166-2-lvl4': 'AU-QLD', 'postcode': '4822', 'country': 'Australia', 'country_code': 'au'}"
Richmond,-20.7287264,143.1414029,"{'town': 'Richmond', 'municipality': 'Richmond Shire', 'state': 'Queensland', 'ISO3166-2-lvl4': 'AU-QLD', 'postcode': '4822', 'country': 'Australia', 'country_code': 'au'}"
Richmond,-21.0897256,149.1371362,"{'city_district': 'Richmond', 'city': 'Mackay', 'municipality': 'Mackay Regional', 'state': 'Queensland', 'ISO3166-2-lvl4': 'AU-QLD', 'postcode': '4740', 'country': 'Australia', 'country_code': 'au'}"
Richmond,-34.9386322,138.5621291,"{'suburb': 'Richmond', 'municipality': 'City of West Torrens', 'state': 'South Australia', 'ISO3166-2-lvl4': 'AU-SA', 'postcode': '5033', 'country': 'Australia', 'country_code': 'au'}"
Sydney,-33.8698439,151.2082848,"{'city': 'Sydney', 'municipality': 'Council of the City of Sydney', 'state': 'New South Wales', 'ISO3166-2-lvl4': 'AU-NSW', 'country': 'Australia', 'country_code': 'au'}"
Sydney,-33.8890382,151.2050397,"{'municipality': 'Council of the City of Sydney', 'state': 'New South Wales', 'ISO3166-2-lvl4': 'AU-NSW', 'country': 'Australia', 'country_code': 'au'}"
Wollongong,-34.4243941,150.89385,"{'municipality': 'Wollongong City Council', 'state': 'New South Wales', 'ISO3166-2-lvl4': 'AU-NSW', 'country': 'Australia', 'country_code': 'au'}"
Wollongong,-34.4278083,150.893054,"{'suburb': 'Wollongong', 'city': 'Wollongong City Council', 'state': 'New South Wales', 'ISO3166-2-lvl4': 'AU-NSW', 'postcode': '2500', 'country': 'Australia', 'country_code': 'au'}"
Bendigo,-36.7590183,144.2826718,"{'city': 'Bendigo', 'municipality': 'City of Greater Bendigo', 'state': 'Victoria', 'ISO3166-2-lvl4': 'AU-VIC', 'postcode': '3550', 'country': 'Australia', 'country_code': 'au'}"
Bendigo,-36.7554002,144.280845,"{'city_district': 'Bendigo', 'city': 'Bendigo', 'municipality': 'City of Greater Bendigo', 'state': 'Victoria', 'ISO3166-2-lvl4': 'AU-VIC', 'postcode': '3550', 'country': 'Australia', 'country_code': 'au'}"
Melbourne Airport,-37.6764488,144.8365383,"{'suburb': 'Melbourne Airport', 'city': 'Melbourne', 'municipality': 'City of Hume', 'state': 'Victoria', 'ISO3166-2-lvl4': 'AU-VIC', 'postcode': '3045', 'country': 'Australia', 'country_code': 'au'}"
Melbourne Airport,-37.6667554,144.8288501,"{'aeroway': 'Melbourne Airport', 'road': 'South Centre Road', 'suburb': 'Melbourne Airport', 'city': 'Melbourne', 'municipality': 'City of Hume', 'state': 'Victoria', 'ISO3166-2-lvl4': 'AU-VIC', 'postcode': '3045', 'country': 'Australia', 'country_code': 'au'}"
Melbourne,-37.8142454,144.9631732,"{'city': 'Melbourne', 'municipality': 'City of Melbourne', 'state': 'Victoria', 'ISO3166-2-lvl4': 'AU-VIC', 'country': 'Australia', 'country_code': 'au'}"
Melbourne,-37.8123825,144.9482613,"{'municipality': 'City of Melbourne', 'state': 'Victoria', 'ISO3166-2-lvl4': 'AU-VIC', 'country': 'Australia', 'country_code': 'au'}"
Melbourne,-37.8141705,144.9655616,"{'suburb': 'Melbourne', 'city': 'Melbourne', 'municipality': 'City of Melbourne', 'state': 'Victoria', 'ISO3166-2-lvl4': 'AU-VIC', 'country': 'Australia', 'country_code': 'au'}"
Nhil,-35.4325283,141.2833187,"{'road': 'Old Murrayville-Nhill Road', 'city_district': 'Big Desert', 'municipality': 'Rural City of Mildura', 'state': 'Victoria', 'ISO3166-2-lvl4': 'AU-VIC', 'postcode': '3490', 'country': 'Australia', 'country_code': 'au'}"
Nhil,-35.4713087,141.3062355,"{'road': 'Cowangie-Nhill Track', 'city_district': 'Big Desert', 'municipality': 'Rural City of Mildura', 'state': 'Victoria', 'ISO3166-2-lvl4': 'AU-VIC', 'postcode': '3490', 'country': 'Australia', 'country_code': 'au'}"
Portland,-38.3456231,141.6042304,"{'town': 'Portland', 'municipality': 'Shire of Glenelg', 'state': 'Victoria', 'ISO3166-2-lvl4': 'AU-VIC', 'postcode': '3305', 'country': 'Australia', 'country_code': 'au'}"
Portland,-33.3483333,149.9844444,"{'town': 'Portland', 'municipality': 'Lithgow City Council', 'state': 'New South Wales', 'ISO3166-2-lvl4': 'AU-NSW', 'postcode': '2847', 'country': 'Australia', 'country_code': 'au'}"
Portland,-35.4231046,149.1144047,"{'residential': 'Portland', 'suburb': 'Chisholm', 'town': 'District of Tuggeranong', 'territory': 'Australian Capital Territory', 'ISO3166-2-lvl4': 'AU-ACT', 'postcode': '2905', 'country': 'Australia', 'country_code': 'au'}"
Watsonia,-37.7109468,145.0837808,"{'railway': 'Watsonia', 'road': 'Greensborough Highway', 'suburb': 'Watsonia', 'city': 'Melbourne', 'municipality': 'City of Banyule', 'state': 'Victoria', 'ISO3166-2-lvl4': 'AU-VIC', 'postcode': '3087', 'country': 'Australia', 'country_code': 'au'}"
Watsonia,-37.7097848,145.0832709,"{'suburb': 'Watsonia', 'municipality': 'City of Banyule', 'state': 'Victoria', 'ISO3166-2-lvl4': 'AU-VIC', 'postcode': '3087', 'country': 'Australia', 'country_code': 'au'}"
Dartmoor,-37.895212,141.2679429,"{'city_district': 'Dartmoor', 'municipality': 'Shire of Glenelg', 'state': 'Victoria', 'ISO3166-2-lvl4': 'AU-VIC', 'postcode': '3304', 'country': 'Australia', 'country_code': 'au'}"
Dartmoor,-27.996162,115.1892181,"{'city_district': 'Dartmoor', 'municipality': 'Shire of Chapman Valley', 'state': 'Western Australia', 'ISO3166-2-lvl4': 'AU-WA', 'postcode': '6532', 'country': 'Australia', 'country_code': 'au'}"
Dartmoor,-37.9225444,141.2766551,"{'village': 'Dartmoor', 'municipality': 'Shire of Glenelg', 'state': 'Victoria', 'ISO3166-2-lvl4': 'AU-VIC', 'country': 'Australia', 'country_code': 'au'}"
Dartmoor,-28.01708,115.1495,"{'locality': 'Dartmoor', 'city_district': 'Dartmoor', 'municipality': 'Shire of Chapman Valley', 'state': 'Western Australia', 'ISO3166-2-lvl4': 'AU-WA', 'country': 'Australia', 'country_code': 'au'}"
Brisbane,-27.365991,152.948963,"{'city': 'Brisbane', 'municipality': 'City of Moreton Bay', 'state': 'Queensland', 'ISO3166-2-lvl4': 'AU-QLD', 'country': 'Australia', 'country_code': 'au'}"
Brisbane,-27.4689623,153.0235009,"{'municipality': 'City of Brisbane', 'state': 'Queensland', 'ISO3166-2-lvl4': 'AU-QLD', 'country': 'Australia', 'country_code': 'au'}"
Cairns,-16.9206657,145.7721854,"{'city': 'Cairns', 'municipality': 'Cairns Regional', 'state': 'Queensland', 'ISO3166-2-lvl4': 'AU-QLD', 'postcode': '4870', 'country': 'Australia', 'country_code': 'au'}"
Cairns,-17.1022281,145.7650465,"{'municipality': 'Cairns Regional', 'state': 'Queensland', 'ISO3166-2-lvl4': 'AU-QLD', 'country': 'Australia', 'country_code': 'au'}"
Townsville,-19.2569391,146.8239537,"{'city': 'Townsville', 'municipality': 'Townsville City', 'state': 'Queensland', 'ISO3166-2-lvl4': 'AU-QLD', 'postcode': '4810', 'country': 'Australia', 'country_code': 'au'}"
Townsville,-19.3502845,146.8036047,"{'municipality': 'Townsville City', 'state': 'Queensland', 'ISO3166-2-lvl4': 'AU-QLD', 'country': 'Australia', 'country_code': 'au'}"
Adelaide,-34.9281805,138.5999312,"{'city': 'Adelaide', 'county': 'Adelaide City Council', 'state': 'South Australia', 'ISO3166-2-lvl4': 'AU-SA', 'country': 'Australia', 'country_code': 'au'}"
Adelaide,-34.9261502,138.6006231,"{'suburb': 'Adelaide', 'county': 'Adelaide City Council', 'state': 'South Australia', 'ISO3166-2-lvl4': 'AU-SA', 'postcode': '5000', 'country': 'Australia', 'country_code': 'au'}"
Adelaide,-34.9211019,138.5972625,"{'county': 'Adelaide City Council', 'state': 'South Australia', 'ISO3166-2-lvl4': 'AU-SA', 'country': 'Australia', 'country_code': 'au'}"
